height,width, cells,agglomeration_factor,n_agents,max
100,50,0.98,0.8,3,50
100,50,0.98,0.8,4,50
100,50,0.98,0.8,5,50
100,50,0.98,0.8,6,50
100,50,0.98,0.8,7,50
100,50,0.98,0.8,8,50
100,50,0.98,0.8,9,50
100,50,0.98,0.8,10,50
100,50,0.98,0.8,11,50
