height,width, cells,agglomeration_factor,n_agents,max
100,50,0.8,0.7,3,100
100,50,0.8,0.7,3,200
100,50,0.8,0.7,3,300
100,50,0.8,0.7,3,400
100,50,0.8,0.7,3,500
100,50,0.8,0.7,3,600
100,50,0.8,0.7,3,700
100,50,0.8,0.7,3,800
100,50,0.8,0.7,3,900
100,50,0.8,0.7,3,1000
100,50,0.8,0.7,3,1100
100,50,0.8,0.7,3,1200
100,50,0.8,0.7,3,1300
100,50,0.8,0.7,3,1400
100,50,0.8,0.7,3,1500
100,50,0.8,0.7,3,1600
100,50,0.8,0.7,3,1700
100,50,0.8,0.7,3,1800
