height,width, cells,agglomeration_factor,n_agents,max
100,50,0.98,0.95,3,600
100,50,0.98,0.9,3,600
100,50,0.98,0.85,3,600
100,50,0.98,0.8,3,600
100,50,0.98,0.75,3,600
100,50,0.98,0.7,3,600
100,50,0.98,0.65,3,600
100,50,0.98,0.6,3,600
100,50,0.98,0.55,3,600
100,50,0.98,0.5,3,600
100,50,0.98,0.45,3,600
100,50,0.98,0.4,3,600
100,50,0.98,0.35,3,600
100,50,0.98,0.3,3,600
100,50,0.98,0.25,3,600
100,50,0.98,0.2,3,600
100,50,0.98,0.15,3,600
100,50,0.98,0.1,3,600
