height,width, cells,agglomeration_factor,n_agents,max
50,50,0.98,0.95,3,100
50,50,0.98,0.9,3,100
50,50,0.98,0.85,3,100
50,50,0.98,0.8,3,100
50,50,0.98,0.75,3,100
50,50,0.98,0.7,3,100
50,50,0.98,0.65,3,100
50,50,0.98,0.6,3,100
50,50,0.98,0.55,3,100
50,50,0.98,0.5,3,100
50,50,0.98,0.45,3,100
50,50,0.98,0.4,3,100
50,50,0.98,0.35,3,100
50,50,0.98,0.3,3,100
50,50,0.98,0.25,3,100
50,50,0.98,0.2,3,100
50,50,0.98,0.15,3,100
50,50,0.98,0.1,3,100
