height,width, cells,agglomeration_factor,n_agents,max
50,50,0.99,0.5,3,500
50,50,0.98,0.5,3,500
50,50,0.97,0.5,3,500
50,50,0.95,0.5,3,500
50,50,0.9,0.5,3,500
50,50,0.85,0.5,3,500
50,50,0.8,0.5,3,500
50,50,0.75,0.5,3,500
50,50,0.7,0.5,3,500
50,50,0.65,0.5,3,500
50,50,0.6,0.5,3,500
50,50,0.55,0.5,3,500
50,50,0.5,0.5,3,500
50,50,0.45,0.5,3,500
50,50,0.4,0.5,3,500
